序号,篇名,作者,刊名,发表时间,被引,自引,外引,文献总数
100,20世纪90年代中国小城镇电影的叙事建构,李泳臻； 梁菲儿,齐鲁艺苑,2020-04-15,0,0,0,347
101,由凡入圣——吴道子“画圣”地位再思,邢莉莉,齐鲁艺苑,2020-04-15,0,0,0,347
102,中外美术交流视野下中国近现代素描教学的演进,蒋英,齐鲁艺苑,2020-04-15,1,0,1,347
103,隋建国雕塑《衣钵》解读,张叶帆,齐鲁艺苑,2020-04-15,0,0,0,347
104,《2020年初春》,王力克,齐鲁艺苑,2020-04-15,0,0,0,347
105,2019界·尚 第五届中国当代陶艺实验作品邀请展,,齐鲁艺苑,2020-04-15,1,0,1,347
106,明代初刻本《天工开物》语图关系探究,王蒙,齐鲁艺苑,2020-04-15,1,0,1,347
107,设计史方法论研究中的两种维度,李传文,齐鲁艺苑,2020-04-15,0,0,0,347
108,边缘化的启蒙者——丰子恺与中国现代设计思想启蒙,孙洪伟,齐鲁艺苑,2020-04-15,0,0,0,347
109,非物质文化遗产和文化认同研究,刘雪； 马知遥,齐鲁艺苑,2020-04-15,2,0,2,347
110,精神分析美学的崛起与西方美学的现代转折——在尼采和弗洛伊德之间(下),徐良,齐鲁艺苑,2020-04-15,0,0,0,347
111,产品形态设计的矛盾论,左铁峰,齐鲁艺苑,2020-02-15,0,0,0,347
112,皖南陶瓷元素在合肥地铁空间中的介入研究,张毅,齐鲁艺苑,2020-02-15,0,0,0,347
113,徐冰之“圆”——以跨学科路径解读徐冰武汉个展,刘纯,齐鲁艺苑,2020-02-15,1,0,1,347
114,中国古代艺术理论范畴研究的界域及构想,李韬,齐鲁艺苑,2020-02-15,0,0,0,347
115,约翰·亚当斯《簧风琴》第三乐章《暴风雨夜》配器技术分析,汪磊,齐鲁艺苑,2020-02-15,1,0,1,347
116,沉思与游戏——解读塔法奈尔《田园风格的行板与小谐谑曲》,陈歌； 李文菁,齐鲁艺苑,2020-02-15,0,0,0,347
117,“诗乐和鸣”唱宋词——由合唱新作品《宋词五首》创作特色谈中国新时代音乐文化自信,王佐伊,齐鲁艺苑,2020-02-15,0,0,0,347
118,文化涤除:地表迳流与地下伏流——光复后台湾地区教育电影放映活动初探,秦宗鹏； 康宁,齐鲁艺苑,2020-02-15,0,0,0,347
119,韩国的电影审查与分级制度研究,孙晴,齐鲁艺苑,2020-02-15,0,0,0,347
120,文化资本理论视角下的明星品牌研究——以成龙为例,王平,齐鲁艺苑,2020-02-15,0,0,0,347
121,全国歌剧理论与创作研讨会暨首届全国优秀歌剧评论征集比赛,,齐鲁艺苑,2020-02-15,0,0,0,347
122,辰河高腔口述传播的民族认同视角,熊晓辉,齐鲁艺苑,2020-02-15,0,0,0,347
123,布莱顿之外:早期英国纪实影片中的现实主义倾向,仲昭阳； 刘强,齐鲁艺苑,2020-02-15,0,0,0,347
124,改革开放40年中国电视剧艺术理论建构路径,张阳,齐鲁艺苑,2020-02-15,0,0,0,347
125,山东抗日根据地的招贴宣传功效考辨,赵大军,齐鲁艺苑,2020-02-15,0,0,0,347
126,张洪祥作品选,,齐鲁艺苑,2020-02-15,0,0,0,347
127,形象的温度——论山东油画拓荒者张洪祥先生的创作与意义,王力克,齐鲁艺苑,2020-02-15,0,0,0,347
128,丰子恺绘画中的现代性精神探析,王薇,齐鲁艺苑,2020-02-15,0,0,0,347
129,东亚美术对纳比派画法创新的影响,王才勇,齐鲁艺苑,2020-02-15,0,0,0,347
130,精神分析美学的崛起与西方美学的现代转折——在尼采和弗洛伊德之间(上),徐良,齐鲁艺苑,2020-02-15,2,0,2,347
131,旅行叙事:现代性视阈下的符号实践和具身体验,刘泓艺,齐鲁艺苑,2020-02-15,0,0,0,347
132,老龄化背景下的公共医疗空间设计管理,马熙逵,齐鲁艺苑,2019-12-15,0,0,0,347
133,山东学者美术史学研究的2018关键词,刘德卿,齐鲁艺苑,2019-12-15,0,0,0,347
134,《当加速度成为历史》局部,董俊超,齐鲁艺苑,2019-12-15,0,0,0,347
135,《瓷语》局部,远宏；孙磊,齐鲁艺苑,2019-12-15,0,0,0,347
136,宏观与精英的背后——论艺术博物馆对小人物的叙事构建,陈名,齐鲁艺苑,2019-12-15,0,0,0,347
137,论艺术活动的柔性管理,田川流,齐鲁艺苑,2019-12-15,2,0,2,347
138,李渔的艺术管理思想与实践之刍议,昝桐,齐鲁艺苑,2019-12-15,0,0,0,347
139,清儒陆世仪琴事考述,范晓利,齐鲁艺苑,2019-12-15,0,0,0,347
